,ID,Name,Sex,Height,Weight,Team,Year,Sport
1,2,A Lamusi,M,170.0,60.0,China,2012,Judo
40,16,Juhamatti Tapio Aaltonen,M,184.0,85.0,Finland,2014,Ice Hockey
80,22,Andreea Aanei,F,170.0,125.0,Romania,2016,Weightlifting
98,34,Jamale (Djamel-) Aarrass (Ahrass-),M,187.0,76.0,France,2012,Athletics
139,51,Nstor Abad Sanjun,M,167.0,64.0,Spain,2016,Gymnastics
148,55,Antonio Abadia Beci,M,170.0,65.0,Spain,2016,Athletics
158,62,Giovanni Abagnale,M,198.0,90.0,Italy,2016,Rowing
161,65,Patimat Abakarova,F,165.0,49.0,Azerbaijan,2016,Taekwondo
164,67,Mariya Vasilyevna Abakumova (-Tarabina),F,179.0,80.0,Russia,2012,Athletics
174,73,Luc Abalo,M,182.0,86.0,France,2012,Handball
175,73,Luc Abalo,M,182.0,86.0,France,2016,Handball
176,74,Mara Laura Abalo,F,182.0,73.0,Argentina,2012,Rowing
197,91,Emanuele Abate,M,190.0,80.0,Italy,2012,Athletics
216,105,Ilyas Abbadi,M,175.0,75.0,Algeria,2012,Boxing
217,105,Ilyas Abbadi,M,175.0,75.0,Algeria,2016,Boxing
232,110,Abubakar Abbas Abbas,M,175.0,66.0,Bahrain,2016,Athletics
245,121,Muhammad Abbas,M,168.0,55.0,Pakistan,2010,Alpine Skiing
249,123,Sohail Abbas,M,178.0,80.0,Pakistan,2012,Hockey
252,126,Forough Abbasi,F,164.0,58.0,Iran,2014,Alpine Skiing
255,127,Shakeel Abbasi,M,165.0,60.0,Pakistan,2012,Hockey
256,128,Soulmaz Abbasi Azad,F,173.0,60.0,Iran,2012,Rowing
260,132,Simona Abbate,F,171.0,64.0,Italy,2012,Water Polo
263,135,Lois Abbingh,F,178.0,72.0,Netherlands,2016,Handball
267,138,Salwan Jasim Abbood Abbood,M,180.0,104.0,Iraq,2016,Weightlifting
271,141,Clare Abbott,F,167.0,58.0,Ireland,2016,Equestrianism
276,145,Jeremy Abbott,M,175.0,70.0,United States,2010,Figure Skating
277,145,Jeremy Abbott,M,175.0,70.0,United States,2014,Figure Skating
282,149,Mara Katherine Abbott,F,163.0,52.0,United States,2016,Cycling
290,155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,185.0,98.0,Egypt,2012,Wrestling
297,159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,167.0,60.0,Egypt,2012,Synchronized Swimming
299,161,Hossam Abdalla,M,203.0,97.0,Egypt,2016,Volleyball
317,170,Maha Abdalsalam Gouda,F,172.0,61.0,Egypt,2016,Diving
366,203,Ahmed Abdel Naeim,M,197.0,87.0,Egypt,2016,Volleyball
386,213,Samy Abdel Razek,M,170.0,60.0,Egypt,2016,Shooting
408,225,Shaimaa Abdel-Latif-Hashad,F,165.0,57.0,Egypt,2016,Shooting
410,227,Ahmed Abdelaal,M,188.0,89.0,Egypt,2016,Volleyball
411,228,Mahmoud Abdelaal,M,176.0,60.0,Egypt,2016,Boxing
412,229,Mohamed Ali Abdelaal,M,175.0,81.0,Egypt,2016,Judo
422,232,Ibrahim Ramadan Ibrahim Abdelbaki,M,173.0,77.0,Egypt,2012,Weightlifting
423,232,Ibrahim Ramadan Ibrahim Abdelbaki,M,173.0,77.0,Egypt,2016,Weightlifting
427,236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,170.0,94.0,Egypt,2012,Weightlifting
428,236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,170.0,94.0,Egypt,2016,Weightlifting
432,239,Ayoub Abdellaoui,M,184.0,68.0,Algeria,2016,Football
433,240,Leila Abdelmoez,F,160.0,46.0,Egypt,2016,Synchronized Swimming
434,241,Sayed Abdelmonem Sayed Hamed,M,170.0,60.0,Egypt,2012,Wrestling
435,242,Ahmed Abdelrahman,M,165.0,60.0,Egypt,2016,Judo
436,243,Ihab Abdelrahman El-Sayed Abdelrahman,M,194.0,96.0,Egypt,2012,Athletics
443,246,Mamdouh Abdelrehim,M,207.0,90.0,Egypt,2016,Volleyball
448,249,Mouni Abderrahim,F,173.0,60.0,Algeria,2012,Volleyball
449,250,Saeid Morad Abdevali,M,170.0,80.0,Iran,2012,Wrestling
450,250,Saeid Morad Abdevali,M,170.0,80.0,Iran,2016,Wrestling
451,251,Bashir Abdi,M,176.0,56.0,Belgium,2016,Athletics
454,252,Youcef Abdi,M,178.0,66.0,Australia,2012,Athletics
469,256,"Abdihakim ""Abdi"" Abdirahman",M,178.0,61.0,United States,2012,Athletics
479,262,Yhyacinthe Mewoli Abdon,M,176.0,60.0,Cameroon,2012,Boxing
489,269,Fawziya Abdoulkarim,F,180.0,67.0,Cameroon,2016,Volleyball
492,272,Berik Abdrakhmanov,M,165.0,60.0,Kazakhstan,2016,Boxing
493,273,Maizurah Abdul Rahim,F,147.0,50.0,Brunei,2016,Athletics
527,299,Dana Abdul Razak (Hussain-),F,163.0,56.0,Iraq,2012,Athletics
549,315,Mona Ahmad Abdulaziz Hassanein,F,166.0,61.0,Egypt,2012,Fencing
583,335,Abdulqdir Abdullayev,M,188.0,91.0,Azerbaijan,2016,Boxing
588,338,Muminzhon Abdullayev,M,190.0,130.0,Uzbekistan,2012,Wrestling
589,338,Muminzhon Abdullayev,M,190.0,130.0,Uzbekistan,2016,Wrestling
593,340,Laye Abdullayeva,F,170.0,47.0,Azerbaijan,2012,Athletics
597,343,Abir Abdulrahman Khalil Mahmoud Khalil,F,162.0,72.0,Egypt,2012,Weightlifting
598,344,Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,168.0,68.0,United Arab Emirates,2012,Football
599,345,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,168.0,62.0,United Arab Emirates,2012,Football
601,346,Shaza Yahia Nazih Abdulrahman El-Sayed,F,170.0,59.0,Egypt,2012,Synchronized Swimming
606,349,Waheed Abdulridha Waheed Karaawi,M,178.0,74.0,Iraq,2016,Boxing
608,350,Mohamed Abdultwab Ibrahim Abd El-Baki,M,162.0,69.0,Egypt,2012,Weightlifting
612,353,Rasul Abduraim,M,183.0,74.0,Kyrgyzstan,2012,Taekwondo
613,354,Bekzod Makhamadzhonovich Abdurakhmonov,M,172.0,74.0,Uzbekistan,2016,Wrestling
614,355,Mukhamadmurod Abdurakhmonov,M,192.0,117.0,Tajikistan,2016,Judo
615,356,Adlan Aliyevich Abdurashidov,M,172.0,60.0,Russia,2016,Boxing
618,357,Yusup Abdusalomov,M,170.0,84.0,Tajikistan,2012,Wrestling
660,383,Mojtaba Abedini Shormasti,M,180.0,83.0,Iran,2012,Fencing
661,383,Mojtaba Abedini Shormasti,M,180.0,83.0,Iran,2016,Fencing
683,395,Jennifer Abel,F,160.0,62.0,Canada,2012,Diving
685,395,Jennifer Abel,F,160.0,62.0,Canada,2016,Diving
704,402,Arthur Abele,M,184.0,85.0,Germany,2016,Athletics
712,405,Jos Javier Abella Fanjul,M,176.0,66.0,Mexico,2016,Football
721,412,Tesfaye Abera Dibaba,M,192.0,68.0,Ethiopia,2016,Athletics
733,421,Mohamed Aberhoune,M,187.0,75.0,Morocco,2012,Football
751,430,Matthew Duncan Abeysinghe,M,180.0,74.0,Sri Lanka,2016,Swimming
752,431,Narek Abgaryan,M,166.0,52.0,Armenia,2016,Boxing
758,433,Pablo Abin Vicen,M,177.0,68.0,Spain,2012,Badminton
759,433,Pablo Abin Vicen,M,177.0,68.0,Spain,2016,Badminton
768,441,Tomomi Abiko,F,173.0,53.0,Japan,2012,Athletics
769,442,"Catherine ""Kate"" Abilla Awino",F,162.0,56.0,Kenya,2016,Rugby Sevens
772,444,Camille Anne Franoise Abily,F,168.0,60.0,France,2012,Football
773,444,Camille Anne Franoise Abily,F,168.0,60.0,France,2016,Football
774,445,Endurance Abinuwa,F,159.0,54.0,Nigeria,2012,Athletics
775,446,Bode Abiodun,M,170.0,68.0,Nigeria,2016,Table Tennis
781,451,Diana Monteiro Abla,F,175.0,75.0,Brazil,2016,Water Polo
784,452,Enver Nazymovych Ablaiev,M,169.0,68.0,Ukraine,2010,Freestyle Skiing
788,455,Denis Mikhaylovich Ablyazin,M,161.0,62.0,Russia,2012,Gymnastics
794,455,Denis Mikhaylovich Ablyazin,M,161.0,62.0,Russia,2016,Gymnastics
799,457,Thorine Christelle Aboa Mbeza,F,182.0,78.0,Cameroon,2016,Volleyball
801,459,Bukola Dammy Abogunloko,F,170.0,53.0,Nigeria,2012,Athletics
809,463,Agnese boltia,F,166.0,60.0,Latvia,2014,Alpine Skiing
813,465,"Matthew ""Matt"" Abood",M,197.0,92.0,Australia,2016,Swimming
820,468,Abdelhalim Muhammad Abou,M,210.0,88.0,Egypt,2016,Volleyball
830,471,Ashraf Abou El-Hassan,M,186.0,86.0,Egypt,2016,Volleyball
859,493,Rabah Aboud,M,180.0,64.0,Algeria,2012,Athletics
860,494,Mamdouh Taha Al-Husseini Abouebaid,M,183.0,85.0,Egypt,2016,Handball
861,495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,188.0,87.0,Egypt,2012,Fencing
863,495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,188.0,87.0,Egypt,2016,Fencing
871,501,Mohamed Mohamed Mohamed Aboutrika,M,182.0,77.0,Egypt,2012,Football
893,510,Melita Isidora Abraham Schssler,F,170.0,62.0,Chile,2016,Rowing
894,511,Tadesse Abraham,M,178.0,61.0,Switzerland,2016,Athletics
940,532,Iason Abramashvili,M,176.0,82.0,Georgia,2010,Alpine Skiing
942,532,Iason Abramashvili,M,176.0,82.0,Georgia,2014,Alpine Skiing
944,533,Yelena Vasilyevna Abramchuk (Kopets-),F,182.0,95.0,Belarus,2016,Athletics
946,534,Oleksandr Volodymyrovych Abramenko,M,180.0,82.0,Ukraine,2010,Freestyle Skiing
947,534,Oleksandr Volodymyrovych Abramenko,M,180.0,82.0,Ukraine,2014,Freestyle Skiing
948,535,Yevgeny Sergeyevich Abramenko,M,181.0,80.0,Belarus,2010,Biathlon
952,535,Yevgeny Sergeyevich Abramenko,M,181.0,80.0,Belarus,2014,Biathlon
975,548,Yekaterina Konstantinovna Abramova,F,167.0,65.0,Russia,2010,Speed Skating
978,550,Dmitry Vladimirovich Abramovich,M,182.0,96.0,Russia-2,2010,Bobsleigh
979,550,Dmitry Vladimirovich Abramovich,M,182.0,96.0,Russia-1,2010,Bobsleigh
980,551,Aliyah Abrams,F,163.0,53.0,Guyana,2016,Athletics
984,554,Benik Abramyan,M,186.0,115.0,Georgia,2016,Athletics
990,556,Arnaldo Lus Isaas Abrantes,M,183.0,72.0,Portugal,2012,Athletics
994,560,Amir Abrashi,M,172.0,70.0,Switzerland,2012,Football
1003,563,Diogo Ferreira Tribolet de Abreu,M,183.0,73.0,Portugal,2016,Trampolining
1026,574,rika Abril Surez,F,164.0,52.0,Colombia,2012,Athletics
1027,574,rika Abril Surez,F,164.0,52.0,Colombia,2016,Athletics
1028,575,Laura Valentina Abril Restrepo,F,162.0,50.0,Colombia,2012,Cycling
1029,576,"Alejandro ""lex"" Abrines Redondo",M,198.0,93.0,Spain,2016,Basketball
1032,578,Bourhan Abro,M,180.0,70.0,Djibouti,2016,Swimming
1033,579,Anastasiya Aleksandrovna Abrosimova,F,164.0,51.0,Russia,2016,Triathlon
1046,583,Julien Absalon,M,180.0,68.0,France,2012,Cycling
1047,583,Julien Absalon,M,180.0,68.0,France,2016,Cycling
1048,584,Ayele Abshero Biza,M,168.0,62.0,Ethiopia,2012,Athletics
1059,593,Methkal Marouf Abu Drais,M,168.0,67.0,Jordan,2012,Athletics
1060,593,Methkal Marouf Abu Drais,M,168.0,67.0,Jordan,2016,Athletics
1064,596,Maher Abu Rmilah,M,172.0,72.0,Palestine,2012,Judo
1080,608,Ahmad Abughaush,M,178.0,68.0,Jordan,2016,Taekwondo
1094,611,Mohammed Abukhousa,M,170.0,67.0,Palestine,2016,Athletics
1095,612,Mohammad Abulibdeh,M,183.0,68.0,Jordan,2012,Taekwondo
1096,613,Kariman Abuljadayel,F,180.0,70.0,Saudi Arabia,2016,Athletics
1108,620,Kanat Kalizhanovich Abutalipov,M,168.0,56.0,Kazakhstan,2012,Boxing
1112,623,Irina Alekseyevna Abysova,F,175.0,56.0,Russia,2012,Triathlon
1126,629,William Accambray,M,194.0,104.0,France,2012,Handball
1168,650,Javier Carlos Acevedo,M,182.0,68.0,Canada,2016,Swimming
1171,652,Nicole Jocelin Acevedo Tangarife,F,166.0,70.0,Colombia,2016,Rugby Sevens
