,ID,Name,Sex,Height,Weight,Team,Year,Sport
1,2,A Lamusi,M,170.0,60.0,China,2012,Judo
40,16,Juhamatti Tapio Aaltonen,M,184.0,85.0,Finland,2014,Ice Hockey
77,20,Kjetil Andr Aamodt,M,176.0,85.0,Norway,2006,Alpine Skiing
80,22,Andreea Aanei,F,170.0,125.0,Romania,2016,Weightlifting
98,34,Jamale (Djamel-) Aarrass (Ahrass-),M,187.0,76.0,France,2012,Athletics
136,49,Moonika Aava,F,168.0,65.0,Estonia,2008,Athletics
139,51,Nstor Abad Sanjun,M,167.0,64.0,Spain,2016,Gymnastics
148,55,Antonio Abadia Beci,M,170.0,65.0,Spain,2016,Athletics
158,62,Giovanni Abagnale,M,198.0,90.0,Italy,2016,Rowing
159,63,Jos Luis Abajo Gmez,M,194.0,87.0,Spain,2008,Fencing
161,65,Patimat Abakarova,F,165.0,49.0,Azerbaijan,2016,Taekwondo
163,67,Mariya Vasilyevna Abakumova (-Tarabina),F,179.0,80.0,Russia,2008,Athletics
164,67,Mariya Vasilyevna Abakumova (-Tarabina),F,179.0,80.0,Russia,2012,Athletics
167,69,Tamara Abalde Daz,F,185.0,72.0,Spain,2008,Basketball
172,72,Aleksey Aleksandrovich Abalmasov,M,180.0,83.0,Belarus,2008,Canoeing
173,73,Luc Abalo,M,182.0,86.0,France,2008,Handball
174,73,Luc Abalo,M,182.0,86.0,France,2012,Handball
175,73,Luc Abalo,M,182.0,86.0,France,2016,Handball
176,74,Mara Laura Abalo,F,182.0,73.0,Argentina,2012,Rowing
197,91,Emanuele Abate,M,190.0,80.0,Italy,2012,Athletics
198,92,Ignazio Abate,M,180.0,73.0,Italy,2008,Football
200,93,Jol Marc Abati,M,190.0,85.0,France,2008,Handball
216,105,Ilyas Abbadi,M,175.0,75.0,Algeria,2012,Boxing
217,105,Ilyas Abbadi,M,175.0,75.0,Algeria,2016,Boxing
232,110,Abubakar Abbas Abbas,M,175.0,66.0,Bahrain,2016,Athletics
245,121,Muhammad Abbas,M,168.0,55.0,Pakistan,2010,Alpine Skiing
249,123,Sohail Abbas,M,178.0,80.0,Pakistan,2012,Hockey
252,126,Forough Abbasi,F,164.0,58.0,Iran,2014,Alpine Skiing
254,127,Shakeel Abbasi,M,165.0,60.0,Pakistan,2008,Hockey
255,127,Shakeel Abbasi,M,165.0,60.0,Pakistan,2012,Hockey
256,128,Soulmaz Abbasi Azad,F,173.0,60.0,Iran,2012,Rowing
257,129,Ruslan Abbasov,M,181.0,74.0,Azerbaijan,2008,Athletics
258,130,Tural Abbasov,M,182.0,76.0,Azerbaijan,2008,Swimming
260,132,Simona Abbate,F,171.0,64.0,Italy,2012,Water Polo
263,135,Lois Abbingh,F,178.0,72.0,Netherlands,2016,Handball
267,138,Salwan Jasim Abbood Abbood,M,180.0,104.0,Iraq,2016,Weightlifting
271,141,Clare Abbott,F,167.0,58.0,Ireland,2016,Equestrianism
274,143,"Desmond ""Des"" Abbott",M,184.0,87.0,Australia,2008,Hockey
275,144,Geoffrey Grant Abbott,M,179.0,80.0,South Africa,2008,Hockey
276,145,Jeremy Abbott,M,175.0,70.0,United States,2010,Figure Skating
277,145,Jeremy Abbott,M,175.0,70.0,United States,2014,Figure Skating
281,148,"Kathryn ""Katie"" Abbott",F,164.0,63.0,Canada,2008,Sailing
282,149,Mara Katherine Abbott,F,163.0,52.0,United States,2016,Cycling
286,153,Monica Cecilia Abbott,F,191.0,88.0,United States,2008,Softball
287,154,Khadija Abbouda,F,165.0,57.0,Morocco,2008,Archery
290,155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,185.0,98.0,Egypt,2012,Wrestling
291,156,Mahmoud Abd El-Kader,M,195.0,94.0,Egypt,2008,Volleyball
293,157,Mohamed Ibrahim Abd El-Salam,M,192.0,83.0,Egypt,2008,Handball
295,159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,167.0,60.0,Egypt,2008,Synchronized Swimming
297,159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,167.0,60.0,Egypt,2012,Synchronized Swimming
298,160,Ali Abdalla Afringi,M,163.0,57.0,Eritrea,2008,Athletics
299,161,Hossam Abdalla,M,203.0,97.0,Egypt,2016,Volleyball
317,170,Maha Abdalsalam Gouda,F,172.0,61.0,Egypt,2016,Diving
365,203,Ahmed Abdel Naeim,M,197.0,87.0,Egypt,2008,Volleyball
366,203,Ahmed Abdel Naeim,M,197.0,87.0,Egypt,2016,Volleyball
384,212,Yasser Abdel Rahman Sakr,M,180.0,120.0,Egypt,2008,Wrestling
385,213,Samy Abdel Razek,M,170.0,60.0,Egypt,2008,Shooting
386,213,Samy Abdel Razek,M,170.0,60.0,Egypt,2016,Shooting
407,225,Shaimaa Abdel-Latif-Hashad,F,165.0,57.0,Egypt,2008,Shooting
408,225,Shaimaa Abdel-Latif-Hashad,F,165.0,57.0,Egypt,2016,Shooting
410,227,Ahmed Abdelaal,M,188.0,89.0,Egypt,2016,Volleyball
411,228,Mahmoud Abdelaal,M,176.0,60.0,Egypt,2016,Boxing
412,229,Mohamed Ali Abdelaal,M,175.0,81.0,Egypt,2016,Judo
422,232,Ibrahim Ramadan Ibrahim Abdelbaki,M,173.0,77.0,Egypt,2012,Weightlifting
423,232,Ibrahim Ramadan Ibrahim Abdelbaki,M,173.0,77.0,Egypt,2016,Weightlifting
424,233,Aziza Abdelfattah,F,159.0,51.0,Egypt,2008,Synchronized Swimming
425,234,Abdalla Abdelgadir El-Sheikh,M,170.0,58.0,Sudan,2008,Athletics
427,236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,170.0,94.0,Egypt,2012,Weightlifting
428,236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,170.0,94.0,Egypt,2016,Weightlifting
431,238,Mohamed Abdellah,M,170.0,70.0,Egypt,2008,Shooting
432,239,Ayoub Abdellaoui,M,184.0,68.0,Algeria,2016,Football
433,240,Leila Abdelmoez,F,160.0,46.0,Egypt,2016,Synchronized Swimming
434,241,Sayed Abdelmonem Sayed Hamed,M,170.0,60.0,Egypt,2012,Wrestling
435,242,Ahmed Abdelrahman,M,165.0,60.0,Egypt,2016,Judo
436,243,Ihab Abdelrahman El-Sayed Abdelrahman,M,194.0,96.0,Egypt,2012,Athletics
443,246,Mamdouh Abdelrehim,M,207.0,90.0,Egypt,2016,Volleyball
447,249,Mouni Abderrahim,F,173.0,60.0,Algeria,2008,Volleyball
448,249,Mouni Abderrahim,F,173.0,60.0,Algeria,2012,Volleyball
449,250,Saeid Morad Abdevali,M,170.0,80.0,Iran,2012,Wrestling
450,250,Saeid Morad Abdevali,M,170.0,80.0,Iran,2016,Wrestling
451,251,Bashir Abdi,M,176.0,56.0,Belgium,2016,Athletics
453,252,Youcef Abdi,M,178.0,66.0,Australia,2008,Athletics
454,252,Youcef Abdi,M,178.0,66.0,Australia,2012,Athletics
468,256,"Abdihakim ""Abdi"" Abdirahman",M,178.0,61.0,United States,2008,Athletics
469,256,"Abdihakim ""Abdi"" Abdirahman",M,178.0,61.0,United States,2012,Athletics
472,257,Ali Abdo,M,169.0,74.0,Australia,2008,Wrestling
479,262,Yhyacinthe Mewoli Abdon,M,176.0,60.0,Cameroon,2012,Boxing
489,269,Fawziya Abdoulkarim,F,180.0,67.0,Cameroon,2016,Volleyball
492,272,Berik Abdrakhmanov,M,165.0,60.0,Kazakhstan,2016,Boxing
493,273,Maizurah Abdul Rahim,F,147.0,50.0,Brunei,2016,Athletics
500,277,Shaimaa Abdul Aziz,F,160.0,53.0,Egypt,2008,Table Tennis
526,299,Dana Abdul Razak (Hussain-),F,163.0,56.0,Iraq,2008,Athletics
527,299,Dana Abdul Razak (Hussain-),F,163.0,56.0,Iraq,2012,Athletics
548,314,"Rukayatu ""Ruky"" Abdulai",F,180.0,59.0,Canada,2008,Athletics
549,315,Mona Ahmad Abdulaziz Hassanein,F,166.0,61.0,Egypt,2012,Fencing
559,321,Ahmad Hassan Abdullah,M,164.0,55.0,Qatar,2008,Athletics
583,335,Abdulqdir Abdullayev,M,188.0,91.0,Azerbaijan,2016,Boxing
588,338,Muminzhon Abdullayev,M,190.0,130.0,Uzbekistan,2012,Wrestling
589,338,Muminzhon Abdullayev,M,190.0,130.0,Uzbekistan,2016,Wrestling
593,340,Laye Abdullayeva,F,170.0,47.0,Azerbaijan,2012,Athletics
594,341,lqar Abdulov,M,175.0,74.0,Azerbaijan,2008,Wrestling
596,343,Abir Abdulrahman Khalil Mahmoud Khalil,F,162.0,72.0,Egypt,2008,Weightlifting
597,343,Abir Abdulrahman Khalil Mahmoud Khalil,F,162.0,72.0,Egypt,2012,Weightlifting
598,344,Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,168.0,68.0,United Arab Emirates,2012,Football
599,345,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,168.0,62.0,United Arab Emirates,2012,Football
600,346,Shaza Yahia Nazih Abdulrahman El-Sayed,F,170.0,59.0,Egypt,2008,Synchronized Swimming
601,346,Shaza Yahia Nazih Abdulrahman El-Sayed,F,170.0,59.0,Egypt,2012,Synchronized Swimming
606,349,Waheed Abdulridha Waheed Karaawi,M,178.0,74.0,Iraq,2016,Boxing
607,350,Mohamed Abdultwab Ibrahim Abd El-Baki,M,162.0,69.0,Egypt,2008,Weightlifting
608,350,Mohamed Abdultwab Ibrahim Abd El-Baki,M,162.0,69.0,Egypt,2012,Weightlifting
611,353,Rasul Abduraim,M,183.0,74.0,Kyrgyzstan,2008,Taekwondo
612,353,Rasul Abduraim,M,183.0,74.0,Kyrgyzstan,2012,Taekwondo
613,354,Bekzod Makhamadzhonovich Abdurakhmonov,M,172.0,74.0,Uzbekistan,2016,Wrestling
614,355,Mukhamadmurod Abdurakhmonov,M,192.0,117.0,Tajikistan,2016,Judo
615,356,Adlan Aliyevich Abdurashidov,M,172.0,60.0,Russia,2016,Boxing
617,357,Yusup Abdusalomov,M,170.0,84.0,Tajikistan,2008,Wrestling
618,357,Yusup Abdusalomov,M,170.0,84.0,Tajikistan,2012,Wrestling
644,371,Shinnosuke Abe,M,179.0,91.0,Japan,2008,Baseball
660,383,Mojtaba Abedini Shormasti,M,180.0,83.0,Iran,2012,Fencing
661,383,Mojtaba Abedini Shormasti,M,180.0,83.0,Iran,2016,Fencing
671,390,Brooke Abel,F,163.0,52.0,United States,2008,Synchronized Swimming
682,395,Jennifer Abel,F,160.0,62.0,Canada,2008,Diving
683,395,Jennifer Abel,F,160.0,62.0,Canada,2012,Diving
685,395,Jennifer Abel,F,160.0,62.0,Canada,2016,Diving
687,396,Katja Abel,F,165.0,55.0,Germany,2008,Gymnastics
703,402,Arthur Abele,M,184.0,85.0,Germany,2008,Athletics
704,402,Arthur Abele,M,184.0,85.0,Germany,2016,Athletics
712,405,Jos Javier Abella Fanjul,M,176.0,66.0,Mexico,2016,Football
721,412,Tesfaye Abera Dibaba,M,192.0,68.0,Ethiopia,2016,Athletics
733,421,Mohamed Aberhoune,M,187.0,75.0,Morocco,2012,Football
747,428,Elvan Abeylegesse,F,159.0,40.0,Turkey,2008,Athletics
751,430,Matthew Duncan Abeysinghe,M,180.0,74.0,Sri Lanka,2016,Swimming
752,431,Narek Abgaryan,M,166.0,52.0,Armenia,2016,Boxing
755,432,Koutoua Francis Abia,M,180.0,80.0,Cote d'Ivoire,2008,Canoeing
757,433,Pablo Abin Vicen,M,177.0,68.0,Spain,2008,Badminton
758,433,Pablo Abin Vicen,M,177.0,68.0,Spain,2012,Badminton
759,433,Pablo Abin Vicen,M,177.0,68.0,Spain,2016,Badminton
766,439,Sagat Abikeyeva,F,160.0,78.0,Kazakhstan,2008,Judo
767,440,Mitsuhiro Abiko,M,169.0,62.0,Japan,2008,Athletics
768,441,Tomomi Abiko,F,173.0,53.0,Japan,2012,Athletics
769,442,"Catherine ""Kate"" Abilla Awino",F,162.0,56.0,Kenya,2016,Rugby Sevens
772,444,Camille Anne Franoise Abily,F,168.0,60.0,France,2012,Football
773,444,Camille Anne Franoise Abily,F,168.0,60.0,France,2016,Football
774,445,Endurance Abinuwa,F,159.0,54.0,Nigeria,2012,Athletics
775,446,Bode Abiodun,M,170.0,68.0,Nigeria,2016,Table Tennis
779,449,Inga Eduardovna Abitova,F,164.0,58.0,Russia,2008,Athletics
781,451,Diana Monteiro Abla,F,175.0,75.0,Brazil,2016,Water Polo
783,452,Enver Nazymovych Ablaiev,M,169.0,68.0,Ukraine,2006,Freestyle Skiing
